id,name,date,time,temperature,pressure,wind_direction
1,Reykjavík,2015-04-27,2015-04-27 21:00:00 +0200,1.0,1012,NNE
36049,Reynisfjall,2015-04-27,2015-04-27 21:00:00 +0200,4.4,"",NNE
